timestamp,text,blocked,reason,tones
2025-11-15T13:23:30.365218,小祥,True,小祥,[]
2025-11-15T13:26:01.391491,小祥,True,小祥,[]
2025-11-15T13:26:07.826417,"太好了,妳終於來了",False,,"[""開心"", ""興奮"", ""輕鬆""]"
2025-11-15T13:26:14.630394,"妳全身都濕透了,沒事吧?",False,,"[""詢問"", ""關心""]"
2025-11-15T13:26:24.227917,妳沒有來學校上課,False,,"[""中性"", ""詢問"", ""關心""]"
2025-11-15T13:26:38.243774,傳訊息也都沒有回,False,,"[""失望"", ""無奈"", ""抱怨"", ""困惑"", ""生氣"", ""不耐煩""]"
2025-11-15T13:26:48.878418,我今天是來講一件事的,False,,"[""中性"", ""正式""]"
2025-11-15T13:26:58.605774,我要退出CRYCHIC,False,,"[""難過"", ""失望"", ""無奈"", ""崩潰"", ""拒絕""]"
2025-11-15T13:27:08.457054,"等一下,我們先坐下來講吧?",False,,"[""輕鬆"", ""詢問"", ""弱勢"", ""試探"", ""暗示""]"
2025-11-15T13:27:16.499755,為什麼? 發生什麼事了嗎,False,,"[""詢問"", ""好奇"", ""困惑"", ""關心""]"
2025-11-15T13:27:33.754075,連我們都不能說嗎,False,,"[""詢問"", ""困惑"", ""失望"", ""抱怨"", ""試探""]"
2025-11-15T13:27:45.954176,還是說就是我們造成的?,False,,"[""詢問"", ""困惑"", ""試探""]"
2025-11-15T13:27:53.788360,有問題的話我們都能改進,False,,"[""關心"", ""輕鬆"", ""詢問""]"
2025-11-15T13:28:06.050499,是我自己的問題,False,,"[""無奈"", ""自嘲"", ""失望"", ""難過"", ""抱怨"", ""敷衍"", ""弱勢""]"
2025-11-15T13:28:14.060940,為什麼?,False,,"[""詢問"", ""困惑"", ""好奇"", ""中性""]"
2025-11-15T13:28:20.581230,之前的演唱會不是很快樂嗎,False,,"[""開心"", ""輕鬆"", ""關心"", ""詢問""]"
2025-11-15T13:28:31.465881,妳也說過還想再辦一次吧,False,,"[""詢問"", ""輕鬆"", ""關心"", ""試探"", ""暗示""]"
